Point;Latitude;Longitude;Contexte;Période;ATX35;ATXND;ATNND;
8231;45.65;3.6194;RCP4.5;H2;2.08;46;-15;
8232;45.6488;3.722;RCP4.5;H2;0.65;45;-16;
8233;45.6475;3.8246;RCP4.5;H2;0;46;-18;
8234;45.6461;3.9272;RCP4.5;H2;0.13;43;-16;
8235;45.6446;4.0298;RCP4.5;H2;4.5;45;-16;
8236;45.643;4.1323;RCP4.5;H2;6.14;44;-16;
8237;45.6413;4.2349;RCP4.5;H2;5.99;43;-16;
8238;45.6395;4.3375;RCP4.5;H2;3.59;45;-16;
8239;45.6376;4.4401;RCP4.5;H2;2.69;46;-17;
8240;45.6356;4.5426;RCP4.5;H2;1.44;46;-17;
8241;45.6336;4.6452;RCP4.5;H2;2.21;46;-16;
8242;45.6314;4.7477;RCP4.5;H2;4.94;44;-16;
8243;45.6292;4.8502;RCP4.5;H2;5.02;44;-16;
8244;45.6268;4.9528;RCP4.5;H2;4.76;45;-17;
8245;45.6244;5.0553;RCP4.5;H2;4.46;44;-15;
8246;45.6218;5.1578;RCP4.5;H2;4.77;44;-15;
8247;45.6192;5.2603;RCP4.5;H2;4.79;44;-14;
8248;45.6165;5.3628;RCP4.5;H2;3.37;46;-15;
8249;45.6137;5.4653;RCP4.5;H2;3.19;45;-15;
8250;45.6108;5.5677;RCP4.5;H2;3.94;46;-14;
8251;45.6078;5.6702;RCP4.5;H2;1.33;43;-14;
8252;45.6047;5.7726;RCP4.5;H2;0.83;47;-13;
8253;45.6015;5.8751;RCP4.5;H2;1.76;46;-13;
8254;45.5982;5.9775;RCP4.5;H2;0.8;52;-12;
8255;45.5948;6.0799;RCP4.5;H2;0.05;53;-13;
8256;45.5913;6.1823;RCP4.5;H2;0.7;56;-12;
8257;45.5878;6.2847;RCP4.5;H2;2.33;55;-12;
8258;45.5841;6.387;RCP4.5;H2;0;58;-17;
8259;45.5804;6.4894;RCP4.5;H2;0;55;-13;
8260;45.5765;6.5917;RCP4.5;H2;0;53;-16;
8261;45.5726;6.6941;RCP4.5;H2;0.12;61;-14;
8262;45.5685;6.7964;RCP4.5;H2;0;57;-16;
8263;45.5644;6.8987;RCP4.5;H2;0;52;-16;
8328;45.6765;-1.104;RCP4.5;H2;1.45;31;-11;
8329;45.6796;-1.0014;RCP4.5;H2;1.45;32;-11;
8330;45.6826;-0.8988;RCP4.5;H2;3.37;36;-13;
8331;45.6856;-0.7962;RCP4.5;H2;3.21;36;-13;
8332;45.6884;-0.6936;RCP4.5;H2;2.83;36;-13;
8333;45.6911;-0.591;RCP4.5;H2;3.05;36;-13;
8334;45.6937;-0.4884;RCP4.5;H2;3.08;36;-14;
8335;45.6963;-0.3857;RCP4.5;H2;3.46;38;-13;
8336;45.6987;-0.2831;RCP4.5;H2;3.87;38;-13;
8337;45.7011;-0.1804;RCP4.5;H2;3.82;38;-13;
8338;45.7033;-0.0778;RCP4.5;H2;3.4;38;-13;
8339;45.7055;0.0249;RCP4.5;H2;3.27;38;-13;
8340;45.7076;0.1276;RCP4.5;H2;4.75;38;-14;
8341;45.7095;0.2303;RCP4.5;H2;4.38;38;-13;
8342;45.7114;0.333;RCP4.5;H2;3.98;38;-13;
8343;45.7132;0.4357;RCP4.5;H2;3.45;38;-13;
8344;45.7149;0.5384;RCP4.5;H2;2.97;39;-14;
8345;45.7165;0.6411;RCP4.5;H2;3.31;39;-13;
8346;45.718;0.7438;RCP4.5;H2;2.96;39;-14;
8347;45.7194;0.8466;RCP4.5;H2;2.53;39;-13;
8348;45.7207;0.9493;RCP4.5;H2;3.53;39;-13;
8349;45.722;1.0521;RCP4.5;H2;3.07;39;-14;
8350;45.7231;1.1548;RCP4.5;H2;3.2;41;-14;
8351;45.7241;1.2575;RCP4.5;H2;2.85;40;-14;
8352;45.7251;1.3603;RCP4.5;H2;3.54;40;-14;
8353;45.7259;1.463;RCP4.5;H2;2.47;39;-14;
